업종그룹,순위,종목코드,종목명,현재가,대비구분,대비가,대비율,조회수치,조회비중
282,1,USAAAPL,애플,238.4,2,0.53,0.22,3526219,6.51
163,2,USANVDA,엔비디아,136.12,5,-0.12,-0.09,3226802,5.96
172,3,USAMSFT,마이크로소프트,426.9,2,0.59,0.14,3090456,5.71
172,4,USAGOOGL,알파벳 Class A,195.39,5,-0.16,-0.08,2321628,4.29
201,5,USAAMZN,아마존닷컴,223.38,2,0.03,0.01,2289748,4.23
172,6,USAMETA,메타 플랫폼스,612,5,-5.12,-0.83,1500177,2.77
71,7,USATSLA,테슬라,425.27,5,-2.95,-0.69,1272339,2.35
163,8,USAAVGO,브로드컴,228.5,2,0.5,0.22,1053248,1.94
163,9,USATSM,타이완 반도체 매뉴팩처링 ADR,210.8,2,4,1.93,1044829,1.93
122,10,USAWMT,월마트,91.59,2,0.25,0.27,729351,1.35
157,11,USALLY,일라이 릴리,745.06,5,-1.68,-0.22,707154,1.31
127,12,USAJPM,제이피모간체이스,252.46,2,0.11,0.04,696712,1.29
172,13,USAV,비자,316.46,2,0.18,0.06,606135,1.12
153,14,USAUNH,유나이티드헬스 그룹,546.84,2,3.42,0.63,500395,0.92
5,15,USAXOM,엑슨 모빌,111.5,5,-0.01,-0.01,482229,0.89
172,16,USAMA,마스터카드,521.78,5,-0.57,-0.11,467194,0.86
172,17,USAORCL,오라클,159.75,2,1.44,0.91,437192,0.81
201,18,USACOST,코스트코 홀세일,924.48,2,0.98,0.11,407157,0.75
202,19,USAHD,홈디포,406.5,2,0.41,0.1,390172,0.72
117,20,USAPG,프록터 & 갬블,159.76,2,0.11,0.07,376194,0.69
157,21,USANVO,노보 노디스크 ADR,83.34,2,0.42,0.51,358564,0.66
172,22,USANFLX,넷플릭스,855,2,6.74,0.79,354106,0.65
127,23,USABAC,뱅크오브아메리카,47.48,2,0.38,0.81,351264,0.65
157,24,USAJNJ,존슨앤드존슨,145.26,2,0.29,0.2,348503,0.64
157,25,USAABBV,애브비,171.35,3,0,0,310221,0.57
172,26,USACRM,세일즈포스,321.63,2,0.47,0.15,309627,0.57
5,27,USACVX,셰브론,158.46,2,0.13,0.08,281963,0.52
108,28,USAKO,코카콜라,61.88,2,0.11,0.18,267255,0.49
157,29,USAMRK,머크 앤 코,99.9,5,-0.19,-0.19,252078,0.47
177,30,USATMUS,T-모바일 US,214.18,5,-0.02,-0.01,248553,0.46
127,31,USAWFC,웰스파고,76.11,2,0.16,0.21,238165,0.44
280,32,USACSCO,시스코 시스템즈,60.08,2,0.1,0.17,236297,0.44
172,33,USAACN,액센추어,348.99,5,-0.74,-0.21,235631,0.43
150,34,USATMO,써모 피셔 사이언티픽,542.495,5,-8.975,-1.63,213048,0.39
172,35,USANOW,서비스나우,1040,5,-14.13,-1.34,212772,0.39
127,36,USAAXP,아메리칸 익스프레스,309.25,5,-3.07,-0.98,211587,0.39
14,37,USALIN,린드,427.98,3,0,0,203457,0.38
87,38,USAMCD,맥도날드,282.55,2,0.25,0.09,201780,0.37
172,39,USAIBM,인터내셔날 비지니스 머신,221,2,0.97,0.44,201341,0.37
263,40,USAMS,모간스탠리,132,2,1.45,1.11,200767,0.37
108,41,USAPEP,펩시코,145.36,2,0.58,0.4,198869,0.37
150,42,USAABT,애보트 래보라토리,110.87,5,-0.23,-0.21,196028,0.36
259,43,USADIS,월트 디즈니,108.41,2,0.23,0.21,195798,0.36
150,44,USAISRG,인튜이티브 서지컬,580.3,2,0.19,0.03,191937,0.35
36,45,USAGE,GE 에어로스페이스,180.74,2,0.45,0.25,191414,0.35
163,46,USAAMD,어드밴스드 마이크로 디바이시스(AMD),120.41,2,0.45,0.38,188391,0.35
112,47,USAPM,필립 모리스 인터내셔널,118.66,2,0.15,0.13,184201,0.34
172,48,USAADBE,어도비,417.41,2,0.13,0.03,181674,0.34
263,49,USAGS,골드만삭스,608.11,2,2.19,0.36,179408,0.33
236,50,USACAT,캐터필러,375.01,2,0.12,0.03,179394,0.33
163,51,USAQCOM,퀄컴,164.46,2,0.05,0.03,177237,0.33
163,52,USATXN,텍사스 인스트루먼트,197.71,2,0.2,0.1,176513,0.33
294,53,USAINTU,인튜이트,620.46,5,-0.99,-0.16,174612,0.32
150,54,USADHR,다나허,244.29,2,6.32,2.66,171627,0.32
144,55,USAAMT,아메리칸 타워,180.2,5,-0.12,-0.07,167100,0.31
177,56,USAVZ,버라이존 커뮤니케이션스,38.3,2,0.12,0.31,161144,0.3
36,57,USARTX,RTX,119.98,2,0.89,0.75,159016,0.29
87,58,USABKNG,부킹 홀딩스,4845.3,2,15.66,0.32,158162,0.29
177,59,USAT,AT&T,22,2,0.09,0.41,156421,0.29
242,60,USASPGI,S&P 글로벌,498.68,2,2.16,0.44,150331,0.28
172,61,USAPLTR,팔란티어 테크놀로지스,68.65,2,0.51,0.75,150144,0.28
157,62,USAPFE,화이자,26.27,2,0.05,0.19,149665,0.28
263,63,USABLK,블랙록,1015.99,2,2.81,0.28,149174,0.28
280,64,USAANET,아리스타 네트웍스,114.98,5,-1.12,-0.96,144758,0.27
157,65,USAAMGN,암젠,268.78,5,-0.16,-0.06,143574,0.27
54,66,USAHON,허니웰 인터내셔널,219.81,2,0.27,0.12,142079,0.26
202,67,USALOW,로우스 컴퍼니,258.8464,2,2.1264,0.83,141834,0.26
163,68,USAAMAT,어플라이드 머티어리얼즈,178.91,2,0.53,0.3,141296,0.26
150,69,USABSX,보스턴 사이언티픽,97,2,0.11,0.11,140971,0.26
136,70,USAPGR,프로그레시브,242.47,3,0,0,140454,0.26
